日期,股票代码,买卖类型,成交价
20250409,600289,2,5.94
20250409,002490,2,3.38
20250411,600358,1,4.2
20250414,603879,1,4.4
20250414,000506,1,5.56
20250414,600671,1,11.42
20250414,600358,2,4.3
20250415,603879,2,4.73
20250415,000506,2,5.98
20250415,600671,2,11.82
20250417,600234,1,6.26
20250418,600234,2,6.34
20250421,002259,1,2.62
20250422,603828,1,5.76
20250422,002259,2,2.68
20250424,600777,1,3.22
20250424,603828,2,6.02
20250430,002425,1,2.22
20250506,000656,1,1.36
20250506,002425,2,2.34
20250507,000656,2,1.37
20250508,002848,1,5.58
20250508,002528,1,2.4
20250508,600608,1,3.18
20250509,002848,2,6
20250509,002528,2,2.4
20250509,600608,2,3.34
20250512,002848,1,6.04
20250512,603557,1,2.82
20250512,000668,1,5.68
20250513,002848,2,6.3
20250513,603557,2,2.94
20250514,000691,1,4.14
20250514,002305,1,1.65
20250515,000668,2,6.1
20250516,600193,1,4.1
20250516,000691,2,4.7
20250516,002305,2,1.8
20250519,600193,2,3.97
20250520,002168,1,3.1
20250521,002306,1,1.86
20250521,000608,1,1.86
20250521,002168,2,2.99
20250522,002816,1,18.8
20250522,002306,2,1.92
20250523,000004,1,9.52
20250523,002816,2,19.02
20250526,000608,2,1.8
20250527,002569,1,8.91
20250527,000004,2,10
20250528,000609,1,3.12
20250528,600238,1,5.94
20250528,002569,2,9.4
20250529,002693,1,8.96
20250529,600238,2,5.94
20250530,600355,1,2.96
20250530,000609,2,3.26
20250530,002693,2,8.61
20250603,000851,1,2.46
20250603,600355,2,2.86
20250604,002816,1,19.08
20250604,000004,1,10.18
20250604,000851,2,2.48
20250605,000820,1,2.9
20250605,000004,2,9.85
20250606,002630,1,2.74
20250606,002816,2,17.88
20250609,600568,1,1.78
20250609,002630,2,2.74
20250609,000820,2,2.94
20250610,002316,1,4.51
20250611,000525,1,8.51
20250611,002316,2,4.69
20250612,600568,2,1.7
20250613,000609,1,3.51
20250613,603959,1,5.4
20250613,000525,2,8.36
20250616,002253,1,11.34
20250616,603959,2,5.78
20250617,603959,1,5.66
20250617,002253,2,10.86
20250618,000504,1,9.09
20250618,000609,2,3.3
20250618,603959,2,6.08
20250619,002898,1,13.66
20250619,600228,1,5.16
20250619,000504,2,8.74
20250620,002528,1,2.86
20250623,002528,2,2.98
20250624,002528,1,3.08
20250624,600228,2,4.69
20250624,002898,2,12.1
20250625,002424,1,4.94
20250625,002647,1,6
20250625,002528,2,2.98
20250626,002197,1,6.92
20250626,002424,2,5.2
20250626,002647,2,6.04
20250627,603398,1,5.06
20250627,002197,2,6.92
20250630,002005,1,2.5
20250701,603959,1,6.06
20250701,603398,2,5.72
20250702,002630,1,2.72
20250702,603959,2,6.24
20250703,000851,1,2.58
20250703,002630,2,2.88
20250703,002005,2,2.42
20250704,300472,1,4.42
20250704,000851,2,2.72
20250707,002305,1,2.26
20250707,300472,2,5.38
20250708,002305,2,2.41
20250709,600711,1,7.42
20250709,000669,1,2.78
20250710,000851,1,2.92
20250710,600711,2,6.94
20250714,600289,1,7.22
20250714,000669,2,2.66
20250714,000851,2,2.8
20250715,002199,1,9.1
20250715,600777,2,4.03
20250716,600107,1,4.34
20250716,600777,1,4.02
20250716,600289,2,6.86
20250716,002199,2,8.8
20250717,600107,2,4.42
20250718,002713,1,4.62
20250718,600608,1,4.08
20250722,603721,1,20.82
20250722,600777,2,5.06
20250722,600608,2,3.94
20250723,002713,2,4.48
20250724,600711,1,7.72
20250724,002602,1,12.86
20250724,603721,2,20.08
20250725,300344,1,5.54
20250725,002305,1,2.64
20250725,600711,2,8.02
